I Introduction;1;
1 Introduction to Programming;3;TRUE
1.1 A calculator;3;TRUE
1.2 Variables;4;TRUE
1.3 Functions;4;TRUE
1.4 Lists;6;TRUE
1.5 Functions over lists;9;TRUE
1.6 Correctness;11;TRUE
1.7 Complexity;12;TRUE
1.8 Lazy evaluation;13;TRUE
1.9 Higher-order programming;15;TRUE
1.10 Concurrency;16;TRUE
1.11 Dataflow;17;TRUE
1.12 State;18;TRUE
1.13 Objects;19;TRUE
1.14 Classes;20;TRUE
1.15 Nondeterminism and time;21;TRUE
1.16 Atomicity;23;TRUE
1.17 Where do we go from here;24;TRUE
1.18 Exercises;24;TRUE
II General Computation Models;29;TRUE
2 Declarative Computation Model;31;
2.1 Defining practical programming languages;33;
2.1.1 Language syntax;33;
2.1.2 Language semantics;38;
2.2 The single-assignment store;44;
2.2.1 Declarative variables;44;
2.2.2 Value store;44;
2.2.3 Value creation;45;
2.2.4 Variable identifiers;46;
2.2.5 Value creation with identifiers;47;
2.2.6 Partial values;47;
2.2.7 Variable-variable binding;48;
2.2.8 Dataflow variables;49;
2.3 Kernel language;50;
2.3.1 Syntax;50;
2.3.2 Values and types;51;
2.3.3 Basic types;53;
2.3.4 Records and procedures;54;
2.3.5 Basic operations;56;
2.4 Kernel language semantics;57;
2.4.1 Basic concepts;57;
2.4.2 The abstract machine;61;
2.4.3 Non-suspendable statements;64;
2.4.4 Suspendable statements;67;
2.4.5 Basic concepts revisited;69;
2.4.6 Last call optimization;74;
2.4.7 Active memory and memory management;75;
2.5 From kernel language to practical language;80;
2.5.1 Syntactic conveniences;80;
2.5.2 Functions (the fun statement);85;
2.5.3 Interactive interface (the declare statement);88;
2.6 Exceptions;91;
2.6.1 Motivation and basic concepts;91;
2.6.2 The declarative model with exceptions;93;
2.6.3 Full syntax;95;
2.6.4 System exceptions;97;
2.7 Advanced topics;98;
2.7.1 Functional programming languages;98;
2.7.2 Unification and entailment;100;
2.7.3 Dynamic and static typing;106;
2.8 Exercises;108;
3 Declarative Programming Techniques;113;
3.1 What is declarativeness?;117;TRUE
3.1.1 A classification of declarative programming;117;TRUE
3.1.2 Specification languages;119;TRUE
3.1.3 Implementing components in the declarative model;119;TRUE
3.2 Iterative computation;120;TRUE
3.2.1 A general schema;120;TRUE
3.2.2 Iteration with numbers;122;TRUE
3.2.3 Using local procedures;122;TRUE
3.2.4 From general schema to control abstraction;125;TRUE
3.3 Recursive computation;126;TRUE
3.3.1 Growing stack size;127;TRUE
3.3.2 Substitution-based abstract machine;128;TRUE
3.3.3 Converting a recursive to an iterative computation;129;TRUE
3.4 Programming with recursion;130;TRUE
3.4.1 Type notation;131;TRUE
3.4.2 Programming with lists;132;TRUE
3.4.3 Accumulators;142;TRUE
3.4.4 Difference lists;144;TRUE
3.4.5 Queues;149;TRUE
3.4.6 Trees;153;TRUE
3.4.7 Drawing trees;161;TRUE
3.4.8 Parsing;163;TRUE
3.5 Time and space efficiency;169;TRUE
3.5.1 Execution time;169;TRUE
3.5.2 Memory usage;175;TRUE
3.5.3 Amortized complexity;177;TRUE
3.5.4 Reflections on performance;178;TRUE
3.6 Higher-order programming;180;TRUE
3.6.1 Basic operations;180;TRUE
3.6.2 Loop abstractions;186;TRUE
3.6.3 Linguistic support for loops;190;TRUE
3.6.4 Data-driven techniques;193;TRUE
3.6.5 Explicit lazy evaluation;196;TRUE
3.6.6 Currying;196;TRUE
3.7 Abstract data types;197;TRUE
3.7.1 A declarative stack;198;TRUE
3.7.2 A declarative dictionary;199;TRUE
3.7.3 A word frequency application;201;TRUE
3.7.4 Secure abstract data types;204;TRUE
3.7.5 The declarative model with secure types;205;TRUE
3.7.6 A secure declarative dictionary;210;TRUE
3.7.7 Capabilities and security;210;TRUE
3.8 Nondeclarative needs;213;TRUE
3.8.1 Text input/output with a file;213;TRUE
3.8.2 Text input/output with a graphical user interface;216;TRUE
3.8.3 Stateless data I/O with files;219;TRUE
3.9 Program design in the small;221;TRUE
3.9.1 Design methodology;221;TRUE
3.9.2 Example of program design;222;TRUE
3.9.3 Software components;223;TRUE
